
Big Board speller
Rank
	
Name
	
Time
	
Load
	
Check
	
Size
	
Unload
	
Memory
	
Heap
	
Stack
52	Tchuns 	6.571 s	0.791 s	5.768 s	0.000 s	0.012 s	8.0 MB	8.0 MB	3.0 kB
53	Mazzu90 	6.590 s	0.631 s	5.949 s	0.000 s	0.010 s	8.0 MB	8.0 MB	976 Bytes
54	MestreLion 	6.593 s	0.770 s	5.823 s	0.000 s	0.000 s	7.9 kB	4.6 kB	3.3 kB
55	CyleJS 	6.606 s	0.651 s	5.955 s	0.000 s	0.000 s	11.8 kB	4.6 kB	7.2 kB
56	VoidNoire 	6.608 s	0.381 s	6.222 s	0.000 s	0.004 s	11.8 kB	4.6 kB	7.2 kB
57	bigschatz 	6.611 s	0.477 s	5.900 s	0.000 s	0.234 s	3.7 MB	3.7 MB	976 Bytes
58	xatriya 	6.621 s	0.807 s	5.814 s	0.000 s	0.000 s	8.0 kB	4.6 kB	3.3 kB
59	ivandmeir 	6.628 s	0.603 s	6.021 s	0.000 s	0.004 s	2.3 MB	2.3 MB	1.0 kB
60	SirDisco 	6.628 s	0.572 s	5.642 s	0.000 s	0.414 s	8.0 MB	8.0 MB	1.0 kB
61	GermanGeraskin 	6.638 s	0.739 s	5.817 s	0.000 s	0.082 s	2.0 MB	2.0 MB	992 Bytes
62	0ceanlight 	6.644 s	0.753 s	5.877 s	0.000 s	0.013 s	8.0 MB	8.0 MB	3.0 kB
63	curiouskiwi-me 	6.656 s	1.002 s	5.642 s	0.000 s	0.012 s	11.2 MB	11.2 MB	1.7 kB
64	ArturAmpilogov 	6.660 s	0.407 s	6.253 s	0.000 s	0.000 s	11.8 kB	4.6 kB	7.2 kB
65	voyager5874 	6.661 s	0.696 s	5.589 s	0.000 s	0.376 s	9.4 MB	9.4 MB	1.2 kB
66	magedrifaat 	6.666 s	0.574 s	6.092 s	0.000 s	0.000 s	11.8 kB	4.6 kB	7.2 kB
67	pratwastaken 	6.683 s	0.391 s	6.292 s	0.000 s	0.000 s	11.8 kB	4.6 kB	7.2 kB
68	rahulbollisetty 	6.687 s	0.720 s	5.968 s	0.000 s	0.000 s	7.9 kB	4.6 kB	3.2 kB
69	stleary 	6.716 s	0.598 s	6.118 s	0.000 s	0.000 s	11.8 kB	4.6 kB	7.2 kB
70	rhpenguins 	6.748 s	1.159 s	5.589 s	0.000 s	0.000 s	1.4 MB	1.4 MB	1.0 kB
71	varvarakronberg 	6.757 s	0.814 s	5.607 s	0.000 s	0.336 s	8.0 MB	8.0 MB	1.1 kB
72	Marcus3x3 	6.761 s	0.731 s	6.026 s	0.000 s	0.004 s	2.3 MB	2.3 MB	1.1 kB
73	Disierd 	6.768 s	0.707 s	6.051 s	0.000 s	0.009 s	8.0 MB	8.0 MB	2.9 kB
74	ktateish 	6.770 s	1.130 s	5.640 s	0.000 s	0.000 s	11.8 kB	4.6 kB	7.2 kB
75	holidayman2020 	6.784 s	1.057 s	5.727 s	0.000 s	0.000 s	8.0 kB	4.6 kB	3.3 kB
76	FrassettoN 	6.792 s	0.709 s	5.687 s	0.000 s	0.396 s	8.0 MB	8.0 MB	1.0 kB
77	Adam-Abdelrahman 	6.796 s	0.721 s	6.033 s	0.000 s	0.042 s	12.2 kB	9.3 kB	2.9 kB
78	amativos 	6.817 s	0.891 s	5.923 s	0.000 s	0.003 s	2.0 MB	1.4 MB	601.0 kB
79	vahoo5 	6.826 s	1.133 s	5.692 s	0.000 s	0.000 s	11.8 kB	4.6 kB	7.2 kB
80	mattw65GS 	6.828 s	0.756 s	6.069 s	0.000 s	0.003 s	2.3 MB	2.3 MB	1.1 kB
81	st-a-lau 	6.829 s	0.893 s	5.607 s	0.000 s	0.329 s	8.0 MB	8.0 MB	3.0 kB
82	Anden100 	6.841 s	0.752 s	6.088 s	0.000 s	0.000 s	11.8 kB	4.6 kB	7.2 kB
83	raremurk 	6.848 s	0.705 s	5.873 s	0.000 s	0.269 s	2.6 MB	2.6 MB	984 Bytes
84	renancamm 	6.858 s	0.824 s	5.801 s	0.000 s	0.233 s	8.0 MB	8.0 MB	3.0 kB
85	DHLSmith 	6.869 s	1.181 s	5.688 s	0.000 s	0.000 s	11.6 kB	9.3 kB	2.3 kB
86	0xff19 	6.882 s	0.929 s	5.943 s	0.000 s	0.009 s	8.0 MB	8.0 MB	1.0 kB
87	ayushpoddar 	6.883 s	0.756 s	5.831 s	0.000 s	0.295 s	2.6 MB	2.6 MB	3.0 kB
88	JohnCopperhand 	6.903 s	0.969 s	5.581 s	0.000 s	0.353 s	8.0 MB	8.0 MB	3.0 kB
89	ShaderOX 	6.905 s	1.068 s	5.822 s	0.000 s	0.014 s	8.0 MB	8.0 MB	3.0 kB
90	Thomas Ballatore Staff 	6.908 s	1.307 s	5.601 s	0.000 s	0.000 s	7.9 kB	4.6 kB	3.2 kB
91	wperalta1 	6.912 s	0.848 s	5.706 s	0.000 s	0.359 s	8.0 MB	8.0 MB	3.0 kB
92	ankurkhetan2015 	6.921 s	0.832 s	5.770 s	0.000 s	0.319 s	8.0 MB	8.0 MB	2.9 kB
93	kst164 	6.921 s	0.806 s	6.103 s	0.000 s	0.012 s	8.1 MB	8.1 MB	2.9 kB
94	ammarkaust 	6.921 s	0.859 s	5.700 s	0.000 s	0.363 s	8.0 MB	8.0 MB	1.0 kB
95	Mathemis 	6.927 s	0.934 s	5.992 s	0.000 s	0.001 s	233.8 kB	230.5 kB	3.3 kB
96	draynerGH 	6.935 s	0.655 s	5.918 s	0.000 s	0.362 s	8.0 MB	8.0 MB	5.2 kB
97	asheft 	6.935 s	0.817 s	5.765 s	0.000 s	0.352 s	8.0 MB	8.0 MB	3.0 kB
98	MelodyGhost 	6.939 s	0.897 s	6.042 s	0.000 s	0.000 s	7.9 kB	4.6 kB	3.2 kB
99	nnajm 	6.945 s	0.845 s	5.740 s	0.000 s	0.360 s	8.0 MB	8.0 MB	976 Bytes
100	hkmrusdi 	6.946 s	0.881 s	5.706 s	0.000 s	0.358 s	8.0 MB	8.0 MB	3.0 kB
101	JeetenCFL 	6.950 s	0.788 s	5.807 s	0.000 s	0.356 s	8.0 MB	8.0 MB	3.0 kB
102	Owen771 	6.952 s	0.931 s	5.685 s	0.000 s	0.335 s	8.0 MB	8.0 MB	3.0 kB
103	gabrielsb144 	6.959 s	1.181 s	5.718 s	0.000 s	0.059 s	9.2 MB	9.2 MB	3.0 kB
104	pinglu85 	6.960 s	0.671 s	5.926 s	0.000 s	0.363 s	8.0 MB	8.0 MB	1.2 kB
105	ywunix 	6.967 s	0.917 s	5.965 s	0.000 s	0.085 s	9.2 MB	9.2 MB	1.1 kB
106	ANANT241203 	6.968 s	0.973 s	5.647 s	0.000 s	0.348 s	8.0 MB	8.0 MB	3.0 kB
107	khellendros 	6.969 s	0.585 s	6.189 s	0.089 s	0.106 s	8.0 MB	8.0 MB	1.1 kB
108	L-Cocuy 	6.972 s	0.750 s	5.706 s	0.137 s	0.379 s	8.0 MB	8.0 MB	1.0 kB
109	aaronlnl 	6.973 s	0.872 s	5.988 s	0.000 s	0.113 s	8.0 MB	8.0 MB	3.0 kB
110	Claire-Piquette 	6.977 s	0.883 s	5.705 s	0.000 s	0.389 s	8.0 MB	8.0 MB	3.0 kB
111	Abdfawzy 	6.977 s	0.855 s	5.754 s	0.000 s	0.369 s	8.0 MB	8.0 MB	3.0 kB
112	khankhaqan 	6.981 s	0.869 s	5.766 s	0.000 s	0.346 s	8.0 MB	8.0 MB	3.0 kB
113	dryasbk 	6.982 s	0.646 s	5.957 s	0.000 s	0.379 s	8.0 MB	8.0 MB	1.1 kB
114	Amphel 	6.987 s	0.720 s	5.918 s	0.000 s	0.349 s	8.0 MB	8.0 MB	1.6 kB
115	Endovic 	6.991 s	0.861 s	5.772 s	0.000 s	0.358 s	8.0 MB	8.0 MB	3.0 kB
116	fchantret 	6.994 s	0.720 s	5.928 s	0.000 s	0.346 s	8.0 MB	8.0 MB	984 Bytes
117	uselessscat 	6.994 s	0.933 s	5.806 s	0.000 s	0.255 s	4.9 MB	4.9 MB	1.1 kB
118	Rory-NV 	6.998 s	1.112 s	5.474 s	0.000 s	0.413 s	8.0 MB	8.0 MB	2.9 kB
119	patrickDugan04 	6.999 s	0.869 s	5.764 s	0.000 s	0.367 s	8.0 MB	8.0 MB	960 Bytes
120	ptnoir 	7.004 s	1.020 s	5.641 s	0.000 s	0.342 s	8.0 MB	8.0 MB	3.0 kB
121	EIMadrigal 	7.008 s	0.952 s	5.705 s	0.000 s	0.352 s	8.0 MB	8.0 MB	3.0 kB
122	JFerb 	7.010 s	0.766 s	5.857 s	0.000 s	0.387 s	8.0 MB	8.0 MB	3.0 kB
